Date,Open,High,Low,Close,Adj Close,Volume
12/24/2019,13.38,13.38,13.38,13.38,13.38,200
12/26/2019,13.39,13.39,13.39,13.39,13.39,200
12/27/2019,13.39,13.39,13.39,13.39,13.39,0
12/30/2019,13.39,13.39,13.39,13.39,13.39,0
12/31/2019,13.18,13.18,13.18,13.18,13.18,400
1/2/2020,13.42,13.42,13.36,13.36,13.36,200
1/3/2020,13.36,13.36,13.36,13.36,13.36,0
1/6/2020,13.36,13.36,13.36,13.36,13.36,0
1/7/2020,13.36,13.36,13.36,13.36,13.36,0
1/8/2020,13.36,13.36,13.36,13.36,13.36,0
1/9/2020,13.36,13.36,13.36,13.36,13.36,0
1/10/2020,13.36,13.36,13.36,13.36,13.36,0
1/13/2020,13.36,13.36,13.36,13.36,13.36,0
1/14/2020,13.36,13.36,13.36,13.36,13.36,0
1/15/2020,13.36,13.36,13.36,13.36,13.36,0
1/16/2020,13.36,13.36,13.36,13.36,13.36,0
1/17/2020,13.36,13.36,13.36,13.36,13.36,0
1/21/2020,13.36,13.36,13.36,13.36,13.36,0
1/22/2020,13.36,13.36,13.36,13.36,13.36,0
1/23/2020,12.94,12.94,12.94,12.94,12.94,300
1/24/2020,13.23,13.23,13.23,13.23,13.23,100
1/27/2020,12.35,12.35,12.35,12.35,12.35,100
1/28/2020,12.35,12.35,12.35,12.35,12.35,0
1/29/2020,12.35,12.35,12.35,12.35,12.35,0
1/30/2020,12.35,12.35,12.35,12.35,12.35,0
1/31/2020,12.45,12.59,12.45,12.59,12.59,500
2/3/2020,12.59,12.59,12.59,12.59,12.59,0
2/4/2020,12.59,12.59,12.59,12.59,12.59,0
2/5/2020,12.5,12.5,12.5,12.5,12.5,200
2/6/2020,12.62,12.62,12.62,12.62,12.62,700
2/7/2020,12.42,12.42,12.42,12.42,12.42,200
2/10/2020,12.3,12.3,12.29,12.29,12.29,300
2/11/2020,12.29,12.29,12.29,12.29,12.29,0
2/12/2020,12.6,12.6,12.6,12.6,12.6,300
2/13/2020,12.6,12.6,12.6,12.6,12.6,0
2/14/2020,12.6,12.6,12.6,12.6,12.6,0
2/18/2020,12.36,12.36,12.3,12.3,12.3,300
2/19/2020,12.35,12.35,12.35,12.35,12.35,500
2/20/2020,12.25,12.26,12.25,12.26,12.26,2200
2/21/2020,12.26,12.26,12.26,12.26,12.26,0
2/24/2020,12.26,12.26,12.15,12.15,12.15,300
2/25/2020,12.16,12.18,12,12,12,800
2/26/2020,12,12,11.82,11.82,11.82,600
2/27/2020,11.79,11.79,11.68,11.68,11.68,700
2/28/2020,11.68,11.68,11.68,11.68,11.68,0
3/2/2020,11.74,11.74,11.74,11.74,11.74,400
3/3/2020,11.7,11.85,11.5,11.5,11.5,3100
3/4/2020,11.8,11.88,11.8,11.88,11.88,2300
3/5/2020,11.71,11.71,11.52,11.52,11.52,400
3/6/2020,11.64,11.64,11.5,11.5,11.5,4300
